pmid,title,abstract,model_prob,pred,abs_margin,Human label
1319639,"[Diagnosis, clinical course and prognosis of parenchymatous- ventricular hemorrhages].","As many as 61 patients with hemorrhagic brain stroke and blood penetration in the ventricular system were subjected to a clinical analysis. Based on the data available, attempts were made to predict an outcome of brain stroke. The authors describe the results of studying different aspects of the diagnostic algorithm of parenchymatous ventricular hemorrhages. In accordance with the clinical and computer-aided tomography data, consciousness disturbances, occlusion hydrocephalus, secondary stem syndrome as well as the localization, volume of hematomas and the degree of the blood filling of the ventricular system may serve as diagnostic predictors of brain hemorrhages. The authors' observations correspond with the conclusions made by foreign scientists that ventricular hemorrhages are not always fatal. Parenchymatous ventricular hemorrhages are likely to eventuate in a favourable outcome owing to the drug treatment.",0.519447950346519,1,0.019447950346519000,0
23634339,Ethical Dilemma and Management of Infertility in HIV Seropositive Discordant Couples: A Case Study in Nigeria.,"The traditional African society places an invaluable premium on procreation and, in some communities, a woman's place in her matrimony is only confirmed on positive reproductive outcome. Infertility is rife in Nigeria, and HIV/acquired immunodeficiency syndrome (AIDS) infection is a global pandemic, which has led to a drop in life expectancy across the world. In Nigeria, a number of cultural norms relating to gender roles and power dynamics constitute a serious barrier to issues of sexuality and infertility. Couples are concerned about their infertility diagnostic test being disclosed to each other, especially before marriage. This concern is understandable, especially in an environment that lacks the modern concepts and attitude toward sexual matters. This is complicated by the advent of HIV/AIDS infection and the societal mind-set that look at seropostive individuals as transgressors. At present, sexual and reproductive health rights are currently not in place because ethical issues are not given prominence by many physicians in Nigeria. A case of an infertile and seropostive discordant couple, which raised a lot of medical and ethical concerns, is presented here to awaken the consciousness of Nigerian physicians and stimulate discussions on the ethical matters such as this in clinical practice.",0.46948392225118300,0,0.030516077748816900,0
37030995,Vasovagal syncope: An overview of pathophysiological mechanisms.,"Syncope is a short-term transient loss of consciousness, characterized by rapid onset and complete spontaneous recovery. According to the 2018 European Society of Cardiology guidelines, three different types of syncope have been identified. However, all forms of syncope share a common final pathophysiological event, global cerebral hypoperfusion, which results from the inability of the circulatory system to maintain blood pressure at the level required to efficiently supply blood to the brain. The vasovagal syncope (VVS) is the most common form of syncope. Although, VVS is generally harmless, its frequent occurrence can negatively affect quality of life and increase the risk of adverse events. The pathophysiological mechanisms underlying VVS remain obscure. The multifaceted nature of VVS presents a veritable challenge to understanding this condition and developing preventative strategies. Thus, the aim of this review was to discuss the factors contributing to the pathogenesis of VVS and provide guidance for future research.",0.26435408997110200,0,0.23564591002889800,0
1343549,[Alterations of arousal in some psychopathologic states].,"An electro-behaviour dissociation was described, at first by animals next about the man, in experiment testing and in the drug addictions. This non concordance appear as lesser if it is be considered not only the sleeping waves but also all the electrical signs of the vigil state: non-existent, fluctuating, limited in topography, behind the stimulation, incomplete or emphasized. In this view we study some pathological states: narcotic and alcoholic addictions, confusion and pre-senile illness. Sometimes it is the abnormal sleep (coma or amazement) which alter the vigil state: absent, decreased, etc. Sometimes the vigilance is ""numbed"", the behaviour and the recording are those of lethargy. Sometimes also, the drowsiness has insomnia characteristics, associating a deep sleep loss, a reactivity to stimulations at once emphasized and undiscriminated, and ""strangeness"" insurmontable for the consciousness (perplexity, delusions, nightmare and level anomalies).",0.041701400432590600,0,0.4582985995674090,0
8818094,[Tizanidine for preanesthetic medication].,"The effect of tizanidine given as a premedication on perioperative hemodynamics (mean blood pressure, heart rate), sedation, hypnosis and midazolam requirements for induction were assessed in 68 patients scheduled for elective surgery under general anesthesia. Patients were assigned to three groups. Group 1 was premedicated 90 min prior to induction with tizanidine 4 mg po (n = 28); group 2 was premedicated with tizanidine 2 mg po (n = 12); group 3 received no premedication (n = 28). In group 1, increase of mean blood pressure on anesthesia induction was attenuated significantly and sedative and hypnotic effects were stronger significantly compared with other groups. We also found that the amounts of midazolam necessary for loss of consciousness were significantly less in patients who had received tizanidine 4 mg. In conclusion, tizanidine is a useful drug as preanesthetic medication for general anesthesia.",0.05411269799241340,0,0.4458873020075870,0
23509248,Cortical response tracking the conscious experience of threshold duration visual stimuli indicates visual perception is all or none.,"At perceptual threshold, some stimuli are available for conscious access whereas others are not. Such threshold inputs are useful tools for investigating the events that separate conscious awareness from unconscious stimulus processing. Here, viewing unmasked, threshold-duration images was combined with recording magnetoencephalography to quantify differences among perceptual states, ranging from no awareness to ambiguity to robust perception. A four-choice scale was used to assess awareness: ""didn't see"" (no awareness), ""couldn't identify"" (awareness without identification), ""unsure"" (awareness with low certainty identification), and ""sure"" (awareness with high certainty identification). Stimulus-evoked neuromagnetic signals were grouped according to behavioral response choices. Three main cortical responses were elicited. The earliest response, peaking at approximately 100 ms after stimulus presentation, showed no significant correlation with stimulus perception. A late response ( approximately 290 ms) showed moderate correlation with stimulus awareness but could not adequately differentiate conscious access from its absence. By contrast, an intermediate response peaking at approximately 240 ms was observed only for trials in which stimuli were consciously detected. That this signal was similar for all conditions in which awareness was reported is consistent with the hypothesis that conscious visual access is relatively sharply demarcated.",0.7323236786952010,1,0.23232367869520100,1
40291566,Concurrent Thyroid Storm From Postpartum Thyroiditis and Lymphocytic Hypophysitis: A Rare Case.,"Postpartum autoimmune thyroiditis (PAT) and lymphocytic hypophysitis (LH) are rare autoimmune conditions occurring during or after pregnancy. We present a case of a 35-year-old woman who developed thyroid storm because of PAT followed by LH, resulting in panhypopituitarism. Initial presentation included hemodynamic instability, altered consciousness, and hyperthyroid symptoms. She was treated for thyroid storm and subsequently developed hypernatremia, suggestive of diabetes insipidus. MRI revealed features consistent with LH. This case highlights the complex interplay between immune dysregulation and pregnancy-related hormonal changes, leading to concurrent autoimmune thyroiditis and hypophysitis. Prompt recognition and multidisciplinary management involving endocrinology, obstetrics, and critical care are essential for optimizing outcomes in such cases. Further research is needed to elucidate the underlying mechanisms and refine management strategies for these rare but potentially serious endocrine complications in the postpartum period.",0.3709662835363240,0,0.12903371646367600,0
18755882,Scholarship: a journey of self-discovery.,"PURPOSE: This article examines scholarship as a holistic process of self-discovery. METHODS: By using their own work as an exemplar, the authors illustrate how the scholarly projects they completed (whether consciously planned or not) helped them to evolve as individuals and scholars. They also demonstrate how those they chose by instinct might have helped them give more valuable service, than those they consciously planned. FINDINGS: They conclude that the scholarly journey affirms the indivisible nature of the scholar/person, and suggest reasons this idea might prove particularly useful to nursing currently.",0.21176422289907700,0,0.2882357771009230,0
39396678,Aesthetic chills modulate reward learning in anhedonic depression.,"OBJECTIVE: This study aimed to examine the potential of experiencing aesthetic chills to enhance reward learning in individuals with elevated depressive symptoms, specifically anhedonia, by investigating the effect of chills on participants' ability to modulate behavior as a function of rewards. METHODS: A total of 103 participants with elevated depressive symptoms took part in the experiment. Among them, 59 participants had depressive symptoms (BDI >/= 20), with 26 classified as ""High Anhedonic"" (HA) and 33 as ""Low Anhedonic"" (LA). Additionally, 39 participants without elevated depressive symptoms (BDI < 20 and SHAPs <32) were included as the control group. We utilized ChillsDB, an open-source database of validated audiovisual stimuli known to elicit chills in the US population. RESULTS: Anhedonic participants who experienced chills demonstrated a significant increase in response bias (p = .004) towards rewards compared to those who did not experience chills. Highlighting specificity, no significant difference in reward bias was observed among LA participants. CONCLUSIONS: These findings suggest that the experience of chills has the potential to impact reward learning in anhedonic individuals, aligning with the known neurobiology of this phenomenon. These results highlight the potential of aesthetic chills as a novel approach to elicit and enhance positive affect in depressed populations.",0.16749026818538900,0,0.33250973181461100,0
9777039,Bromocriptine-induced tachycardia in conscious rats: blunted response following isoproterenol pretreatment for 5 days.,"Previous studies have shown that tachycardia induced by intravenous injection of bromocriptine, which persisted after adrenalectomy, was mediated by central dopamine D2 receptor stimulation. Such stimulation could activate central sympathetic outflow to the heart. To test this hypothesis, we investigated whether pretreatment with isoproterenol, known to induce cardiac beta-adrenoceptor desensitization, could reduce bromocriptine-induced tachycardia. A 5 day pretreatment with isoproterenol (5 mg/kg/day) induced a 21% increase in the ratio of ventricular dry weight to body weight, compared with saline-pretreated rats. In isolated perfused heart preparations from isoproterenol-pretreated rats, the isoproterenol-induced increase in left ventricular systolic pressure and heart rate was significantly reduced, compared with saline-pretreated rats (the isoproterenol concentration producing 50% of the maximal positive inotropic and chronotropic responses was increased approximately 5- and 4-fold, respectively). In conscious control rats, intravenous injection of bromocriptine (50, 150 and 250 micrograms/kg) decreased mean aortic pressure and increased heart rate in a dose-related manner. Pretreatment with isoproterenol for 5 days reduced bromocriptine-induced tachycardia without affecting hypotension. Cardiac autonomic tone remained of the same order of magnitude irrespective of whether the animal was pretreated with isoproterenol. These results indicate that isoproterenol pretreatment reduces bromocriptine-induced tachycardia mainly through desensitization of cardiac beta-adrenoceptors rather than via an impairment of autonomic regulation of the heart. This supports the hypothesis that bromocriptine-induced activation of central dopamine D2 receptors increases heart rate via activation of central sympathetic outflow to the heart.",0.06994943378387720,0,0.4300505662161230,0
