pmid,title,abstract,label,model_prob,mentions_consciousness,mentions_awareness,mentions_anesthesia,mentions_coma,mentions_vegetative,mentions_minimally_conscious,mentions_locked_in,mentions_sedation,mentions_arousal,mentions_neural,mentions_philosophy,mentions_qualia,mentions_subjective,mentions_phenomenology,mentions_report,mentions_religion,mentions_global_workspace,mentions_iit,mentions_mind_brain_identity,mentions_orch_or,mentions_panpsychism,mentions_dualism,mentions_monism,mentions_electromagnetic,mentions_neural_correlates,mentions_physicalism,mentions_edelman,mentions_crick,mentions_koch,mentions_dennett,mentions_baars,mentions_mcfadden,mentions_searle,mentions_chalmers,mentions_dehaene,mentions_tononi,mentions_friston,len_abstract_over_250,pred,mismatch,abs_margin
30459382,Lab-grown 'mini brains' produce electrical patterns that resemble those of premature babies.,,1,0.09263685118847326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.40736314881152674
38789261,Transient Attention Gates Access Consciousness: Coupling N2pc and P3 Latencies Using Dynamic Time Warping.,"The N2pc and P3 event-related potentials (ERPs), used to index selective attention and access to working memory and conscious awareness, respectively, have been important tools in cognitive sciences. Although it is likely that these two components and the underlying cognitive processes are temporally and functionally linked, such links have not yet been convincingly demonstrated. Adopting a novel methodological approach based on dynamic time warping (DTW), we provide evidence that the N2pc and P3 ERP components are temporally linked. We analyzed data from an experiment where 23 participants (16 women) monitored bilateral rapid serial streams of letters and digits in order to report a target digit indicated by a shape cue, separately for trials with correct responses and trials where a temporally proximal distractor was reported instead (distractor intrusion). DTW analyses revealed that N2pc and P3 latencies were correlated in time, both when the target or a distractor was reported. Notably, this link was weaker on distractor intrusion trials. This N2pc-P3 association is discussed with respect to the relationship between attention and access consciousness. Our results demonstrate that our novel method provides a valuable approach for assessing temporal links between two cognitive processes and their underlying modulating factors. This method allows to establish links and their modulator for any two time-series across all domains of the field (general-purpose MATLAB functions and a Python module are provided alongside this paper).",1,0.17475125698208044,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,0.32524874301791956
8270321,Clinical and medicolegal aspects of conscious awareness during anesthesia.,"In summary, regarding the legal aspects of awareness during anesthesia, the questions for the court to answer are: Was the patient aware? If probably yes, did the anesthesia technique cause or materially contribute to the awareness? Alternatively, if res ipsa loquitur applies, can the anesthesiologist show that the technique was not negligent, if necessary by showing that it would have been acceptable to at least a responsible minority of practitioners? It will be clear from the foregoing that good recordkeeping cannot be overemphasized. Apart from the fact that a precise and clear record tends to convince the court that they are dealing with a careful practitioner, the most important factor is that the more you have recorded about the anesthesia course, the more you will be able to tell the court about it. Finally, if you are unfortunate enough to lose and the patient is awarded damages, how much will the patient get? In the United Kingdom recently, $20,000 was awarded to patients for awareness in orthopedic and obstetric cases--perhaps a modest amount by U.S. standards. If the patient develops posttraumatic stress disorder, a much larger award is likely, especially if the patient is unable to work as a result of it; loss of earnings always increases an award, and it could easily reach $750,000 for a big earner. Insurance or other indemnity should cover this, of course, but it pays to remember one's likely exposure to risk in the event of failing to pay one's premium.",0,0.7914456342225112,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0.29144563422251124
1950066,[Syndrome combinations as meta-syndromes in configuration frequency analysis].,"The paper defines metasyndromes as syndrome combinations. Within the framework of Configural Frequency Analysis the authors propose using a single test for identifying patterns of syndromes rather than applying simultaneous tests for identifying singular syndromes. The authors describe and illustrate the method using the ""classical data"" that describe symptom patterns under LSD (Lienert, 1971). The rationale of the new procedure is to combine independent tests as was proposed by Wartmann and Wette (1952) as a means for meta analysis.",0,0.7789998010255993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0.2789998010255993
18631826,Seizures and impairment of consciousness.,,0,0.7702321820818299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,0.27023218208182986
261263,Drug abuse and altered consciousness.,,0,0.7681320567375447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,0.2681320567375447
24837822,The need for absolute truth and self-rumination as basic suppressors in the relationship between private self-consciousness and mental health.,"Self-reflection has not so far been shown to have any specific benefits for mental health except for self-knowledge. Recent research showed that the controversy concerning the relationship between self-reflection and mental health could completely be eliminated if self-rumination and the need for absolute truth, especially the need for absolute truth, were considered as suppressor variables. This research replicated these findings in a different sample and expanded these findings by showing that the same is true for private self-consciousness. The need for absolute truth as a new variable was shown to be highly important in understanding the effects of self-consciousness on mental health.",1,0.23548247502043831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,0.2645175249795617
38702194,Unsupervised Characterization of Prediction Error Markers in Unisensory and Multisensory Streams Reveal the Spatiotemporal Hierarchy of Cortical Information Processing.,"Elicited upon violation of regularity in stimulus presentation, mismatch negativity (MMN) reflects the brain's ability to perform automatic comparisons between consecutive stimuli and provides an electrophysiological index of sensory error detection whereas P300 is associated with cognitive processes such as updating of the working memory. To date, there has been extensive research on the roles of MMN and P300 individually, because of their potential to be used as clinical markers of consciousness and attention, respectively. Here, we intend to explore with an unsupervised and rigorous source estimation approach, the underlying cortical generators of MMN and P300, in the context of prediction error propagation along the hierarchies of brain information processing in healthy human participants. The existing methods of characterizing the two ERPs involve only approximate estimations of their amplitudes and latencies based on specific sensors of interest. Our objective is twofold: first, we introduce a novel data-driven unsupervised approach to compute latencies and amplitude of ERP components accurately on an individual-subject basis and reconfirm earlier findings. Second, we demonstrate that in multisensory environments, MMN generators seem to reflect a significant overlap of ""modality-specific"" and ""modality-independent"" information processing while P300 generators mark a shift toward completely ""modality-independent"" processing. Advancing earlier understanding that multisensory contexts speed up early sensory processing, our study reveals that temporal facilitation extends to even the later components of prediction error processing, using EEG experiments. Such knowledge can be of value to clinical research for characterizing the key developmental stages of lifespan aging, schizophrenia, and depression.",1,0.2626238850667783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,0.2373761149332217
30039244,Disorders of Consciousness in China.,"With the development of modern international medicine, the subject of disorders of consciousness (DOCs) has begun to be raised in mainland China. Much progress has been made to date in several specialties related to the management of chronic DOC patients in China. In this article, we briefly review the present status of DOC studies in China, specifically concerning diagnosis, prognosis, therapy, and rehabilitation. The development of DOC-related scientific organizations and activities in China are introduced. Some weaknesses that need improvement are also noted. The current program provides a good foundation for future development.",0,0.7346602500341821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0.23466025003418212
19818891,"How can we know if patients in coma, vegetative state or minimally conscious state are conscious?","This paper examines the claim that patients in coma, vegetative state and minimally conscious state may in fact be conscious. The topic is of great importance for a number of reasons--not least ethical. As soon as we know a given creature has any experiences at all, our ethical attitude towards it changes completely. A number of recent experiments looking for signs of intact or partially intact cognitive processing in the various stages of decreased level of consciousness are reviewed. Whether or not vegetative or coma patients are in fact conscious is an empirical issue that we yet do not know how to resolve. However, the simple fact that this is an unresolved empirical issue implies that the standard behavioural assessment is not sufficient to decide what it is like to be these patients. In other words, different and more sophisticated methods are necessary. From a theoretical position, the paper moves on to discuss differences in validity between reports (e.g. verbal) and signals (e.g. brain activations) in the study of consciousness, and whether results from experiments on the contents of consciousness may be of any use in the study of levels of consciousness. Finally, an integrated approach is suggested, which does not separate research in level and content as clearly as in current practice, and which may show a path to improved paradigms to determine whether patients in coma or vegetative state are conscious.",0,0.7337591651819791,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0.23375916518197914
